# threshold in adu, quantum efficency ((thresholded photons devided by adu - 100*100*300*fdpa)/180 (analog photons)), thresholded photons in noise data
5.000000000000000000e+01,4.407785965789773996e+00,9.427999999999998881e-03
5.500000000000000000e+01,3.597612555666299450e+00,5.427194444444444557e-03
6.000000000000000000e+01,2.981934266850467807e+00,3.109111111111111103e-03
6.500000000000000000e+01,2.512282355764144715e+00,1.789194444444444382e-03
7.000000000000000000e+01,2.142151877647024527e+00,1.026583333333333341e-03
7.500000000000000000e+01,1.870308618381400168e+00,5.909166666666666734e-04
8.000000000000000000e+01,1.650271952696970690e+00,3.368888888888889582e-04
8.500000000000000000e+01,1.465085116188390213e+00,1.899722222222222350e-04
9.000000000000000000e+01,1.292349858561899545e+00,1.071666666666666650e-04
9.500000000000000000e+01,1.150700989033126120e+00,6.066666666666666632e-05
1.000000000000000000e+02,1.012663563769958808e+00,3.399999999999999973e-05
1.050000000000000000e+02,8.845667300459598703e-01,1.791666666666666397e-05
1.100000000000000000e+02,7.707758363168619731e-01,1.047222222222222059e-05
1.150000000000000000e+02,6.625297863086945238e-01,6.027777777777778134e-06
1.200000000000000000e+02,5.650511904998344326e-01,3.722222222222222113e-06
1.250000000000000000e+02,4.745766078121497755e-01,2.416666666666666681e-06
1.300000000000000000e+02,3.960489745889702595e-01,1.861111111111111056e-06
1.350000000000000000e+02,3.231452234292345738e-01,1.277777777777777661e-06
1.400000000000000000e+02,2.605407762862274601e-01,9.722222222222223959e-07
1.450000000000000000e+02,2.081201155824295157e-01,8.055555555555555603e-07
1.500000000000000000e+02,1.662723531579060610e-01,6.666666666666667071e-07
1.550000000000000000e+02,1.335261598674101491e-01,6.111111111111111658e-07
1.600000000000000000e+02,1.049507591126142420e-01,4.999999999999999774e-07
