# threshold in adu, signal_pro_pixel (300*(analog_photon_per_pixel*quantum_eff - ph_noise_per_pixel)), noise_pro_pixel (np.sqrt(300*(analog_photon_per_pixel*quantum_eff + ph_noise_per_pixel)))
5.000000000000000000e+01,6.041500000000000092e+00,3.420277766497919814e+00
5.500000000000000000e+01,4.931041666666667211e+00,2.861356030509544013e+00
6.000000000000000000e+01,4.087166666666667503e+00,2.439801904526950338e+00
6.500000000000000000e+01,3.443441666666667178e+00,2.125313702335100530e+00
7.000000000000000000e+01,2.936125000000000540e+00,1.884694935526702197e+00
7.500000000000000000e+01,2.563524999999999832e+00,1.708237395680120230e+00
8.000000000000000000e+01,2.261933333333333351e+00,1.569734584783894826e+00
8.500000000000000000e+01,2.008108333333333384e+00,1.456740082055363317e+00
9.000000000000000000e+01,1.771349999999999980e+00,1.354861616549823289e+00
9.500000000000000000e+01,1.577199999999999935e+00,1.270275560656033420e+00
1.000000000000000000e+02,1.388000000000000123e+00,1.186760295931743814e+00
1.050000000000000000e+02,1.212424999999999864e+00,1.105972422802666610e+00
1.100000000000000000e+02,1.056458333333333277e+00,1.030893625291507298e+00
1.150000000000000000e+02,9.080916666666666304e-01,9.548341915397319246e-01
1.200000000000000000e+02,7.744833333333333014e-01,8.813153049088995328e-01
1.250000000000000000e+02,6.504750000000000254e-01,8.074187265601411312e-01
1.300000000000000000e+02,5.428416666666666668e-01,7.375353098891830328e-01
1.350000000000000000e+02,4.429166666666666807e-01,6.660955887358309679e-01
1.400000000000000000e+02,3.571083333333333054e-01,5.980732953966986232e-01
1.450000000000000000e+02,2.852583333333333360e-01,5.345480957469277428e-01
1.500000000000000000e+02,2.278999999999999915e-01,4.778074926160116309e-01
1.550000000000000000e+02,1.830166666666666886e-01,4.282328027292319761e-01
1.600000000000000000e+02,1.438500000000000056e-01,3.796709101313925916e-01
